entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2018-01-10 16:15:00+00:00,2018-01-11 03:15:00+00:00,LONG,14466.17,13555.31,-6.296,-912.8600000000006,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,44
2018-01-11 14:45:00+00:00,2018-01-11 19:30:00+00:00,LONG,14100.0,13390.74,-5.03,-711.2600000000002,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,19
2018-01-12 04:15:00+00:00,2018-01-12 16:15:00+00:00,LONG,13636.12,13314.87,-2.356,-323.25,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,48
2018-01-12 20:45:00+00:00,2018-01-13 21:15:00+00:00,LONG,13899.98,14126.01,1.626,224.03000000000065,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,98
2018-01-13 22:15:00+00:00,2018-01-14 03:30:00+00:00,LONG,14223.98,14130.13,-0.66,-95.85000000000036,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,21
2018-01-14 23:15:00+00:00,2018-01-15 22:15:00+00:00,LONG,13589.71,13741.01,1.113,149.3000000000011,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,92
2018-01-17 20:30:00+00:00,2018-01-18 22:45:00+00:00,LONG,10843.93,10964.0,1.107,118.06999999999971,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,105
2018-01-19 08:00:00+00:00,2018-01-19 18:45:00+00:00,LONG,11383.99,11185.1,-1.747,-200.88999999999942,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,43
2018-01-20 00:00:00+00:00,2018-01-21 01:30:00+00:00,LONG,11560.14,12462.0,7.801,899.8600000000006,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,102
2018-01-22 04:30:00+00:00,2018-01-22 12:15:00+00:00,LONG,11642.02,11169.88,-4.055,-474.14000000000124,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,31
2018-01-23 03:30:00+00:00,2018-01-23 05:00:00+00:00,LONG,10909.96,10329.63,-5.319,-582.3299999999999,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,6
2018-01-23 16:00:00+00:00,2018-01-24 01:30:00+00:00,LONG,10874.33,10641.0,-2.146,-235.32999999999993,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,38
2018-01-24 07:00:00+00:00,2018-01-25 11:45:00+00:00,LONG,11074.97,11215.0,1.264,138.03000000000065,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,115
2018-01-25 22:15:00+00:00,2018-01-25 22:30:00+00:00,LONG,11268.99,11219.12,-0.443,-51.86999999999898,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,1
2018-01-26 00:45:00+00:00,2018-01-26 07:45:00+00:00,LONG,11370.94,11010.0,-3.174,-362.9400000000005,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,28
2018-01-26 16:45:00+00:00,2018-01-26 22:15:00+00:00,LONG,11094.01,10864.74,-2.067,-231.27000000000044,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,22
2018-01-26 23:45:00+00:00,2018-01-27 13:15:00+00:00,LONG,11089.0,11089.59,0.005,-1.4099999999998545,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,54
2018-01-27 15:30:00+00:00,2018-01-29 01:30:00+00:00,LONG,11261.0,11555.0,2.611,292.0,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,136
2018-01-31 11:45:00+00:00,2018-01-31 14:30:00+00:00,LONG,10290.05,10023.98,-2.586,-268.0699999999997,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,11
2018-01-31 23:15:00+00:00,2018-02-01 04:30:00+00:00,LONG,10198.98,10153.82,-0.443,-47.159999999999854,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,21
2018-02-01 04:45:00+00:00,2018-02-01 06:45:00+00:00,LONG,10245.79,10092.14,-1.5,-155.65000000000146,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,8
2018-02-02 15:45:00+00:00,2018-02-02 19:15:00+00:00,LONG,9070.0,8578.0,-5.424,-494.0,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,14
2018-02-02 19:30:00+00:00,2018-02-02 19:45:00+00:00,LONG,8765.77,8699.72,-0.753,-68.05000000000109,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,1
2018-02-02 20:00:00+00:00,2018-02-02 20:45:00+00:00,LONG,8791.16,8668.0,-1.401,-125.15999999999985,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,3
2018-02-02 23:00:00+00:00,2018-02-03 01:45:00+00:00,LONG,8920.01,8643.0,-3.105,-279.0100000000002,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,11
2018-02-03 08:45:00+00:00,2018-02-04 01:45:00+00:00,LONG,8934.0,8920.0,-0.157,-16.0,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,68
2018-02-04 03:45:00+00:00,2018-02-04 09:15:00+00:00,LONG,9219.18,8909.69,-3.357,-311.4899999999998,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,22
2018-02-06 13:15:00+00:00,2018-02-07 23:00:00+00:00,LONG,6841.88,7600.0,11.081,756.1199999999999,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,135
2018-02-09 10:00:00+00:00,2018-02-10 10:45:00+00:00,LONG,8248.0,8481.0,2.825,231.0,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,99
2018-02-11 13:00:00+00:00,2018-02-11 23:45:00+00:00,LONG,8330.0,8063.88,-3.195,-268.1199999999999,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,43
2018-02-12 01:45:00+00:00,2018-02-13 04:15:00+00:00,LONG,8345.51,8629.9,3.408,282.3899999999994,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,106
2018-02-13 20:00:00+00:00,2018-02-13 23:00:00+00:00,LONG,8632.0,8526.79,-1.219,-107.20999999999913,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,12
2018-02-14 01:30:00+00:00,2018-02-16 07:15:00+00:00,LONG,8653.92,9863.99,13.983,1208.0699999999997,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,215
2018-02-16 15:15:00+00:00,2018-02-18 05:30:00+00:00,LONG,10099.82,10510.0,4.061,408.1800000000003,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,153
2018-02-18 15:15:00+00:00,2018-02-18 16:15:00+00:00,LONG,10792.47,10500.0,-2.71,-294.46999999999935,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,4
2018-02-18 17:45:00+00:00,2018-02-18 23:15:00+00:00,LONG,10743.0,10380.0,-3.379,-365.0,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,22
2018-02-19 07:45:00+00:00,2018-02-20 23:30:00+00:00,LONG,10815.62,11138.54,2.986,320.9200000000001,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,159
2018-02-22 03:00:00+00:00,2018-02-22 09:00:00+00:00,LONG,10720.09,10449.97,-2.52,-272.1200000000008,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,24
2018-02-23 09:15:00+00:00,2018-02-23 20:30:00+00:00,LONG,9971.0,9923.0,-0.481,-50.0,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,45
2018-02-24 00:00:00+00:00,2018-02-24 08:00:00+00:00,LONG,10224.08,10048.01,-1.722,-178.0699999999997,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,32
2018-02-25 06:15:00+00:00,2018-02-25 09:30:00+00:00,LONG,9807.0,9568.86,-2.428,-240.13999999999942,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,13
2018-02-25 22:30:00+00:00,2018-02-26 06:45:00+00:00,LONG,9635.47,9418.41,-2.253,-219.0599999999995,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,33
2018-02-26 11:15:00+00:00,2018-02-28 09:00:00+00:00,LONG,9644.26,10521.0,9.091,874.7399999999998,WIN,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,183
2018-02-28 21:00:00+00:00,2018-02-28 22:15:00+00:00,LONG,10712.97,10538.98,-1.624,-175.98999999999978,LOSS,EMA20 crossed ABOVE EMA50,EMA20 crossed BELOW EMA50,5
