entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2018-01-01 20:00:00+00:00,2018-01-02 03:45:00+00:00,LONG,13421.03,13353.78,-0.501,-69.25,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,31
2018-01-02 09:00:00+00:00,2018-01-03 09:15:00+00:00,LONG,13480.0,14695.02,9.014,1213.0200000000004,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,97
2018-01-03 14:15:00+00:00,2018-01-03 18:45:00+00:00,LONG,14957.02,14749.97,-1.384,-209.0500000000011,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,18
2018-01-03 21:30:00+00:00,2018-01-03 23:15:00+00:00,LONG,14914.08,14771.02,-0.959,-145.0599999999995,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
2018-01-03 23:45:00+00:00,2018-01-04 00:00:00+00:00,LONG,14919.51,14810.25,-0.732,-111.26000000000022,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,1
2018-01-04 01:45:00+00:00,2018-01-04 07:00:00+00:00,LONG,15172.12,14815.01,-2.354,-359.1100000000006,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,21
2018-01-04 17:45:00+00:00,2018-01-05 04:45:00+00:00,LONG,14648.89,14820.05,1.168,169.15999999999985,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,44
2018-01-05 05:45:00+00:00,2018-01-05 07:30:00+00:00,LONG,15000.0,14896.11,-0.693,-105.88999999999942,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
2018-01-05 08:00:00+00:00,2018-01-06 03:30:00+00:00,LONG,15010.0,16626.66,10.771,1614.6599999999999,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,78
2018-01-06 11:00:00+00:00,2018-01-06 11:45:00+00:00,LONG,16716.0,16529.89,-1.113,-188.11000000000058,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,3
2018-01-06 15:45:00+00:00,2018-01-07 02:45:00+00:00,LONG,16556.22,16742.94,1.128,184.71999999999753,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,44
2018-01-07 08:30:00+00:00,2018-01-07 11:45:00+00:00,LONG,16800.0,16607.0,-1.149,-195.0,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,13
2018-01-07 22:15:00+00:00,2018-01-08 00:45:00+00:00,LONG,16358.11,15948.96,-2.501,-411.15000000000146,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,10
2018-01-08 19:00:00+00:00,2018-01-08 22:15:00+00:00,LONG,14933.11,14707.76,-1.509,-227.35000000000036,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,13
2018-01-09 00:15:00+00:00,2018-01-09 06:15:00+00:00,LONG,15100.0,14846.06,-1.682,-255.9400000000005,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,24
2018-01-09 08:30:00+00:00,2018-01-09 09:45:00+00:00,LONG,15251.02,14811.0,-2.885,-442.02000000000044,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
2018-01-09 16:30:00+00:00,2018-01-09 20:15:00+00:00,LONG,14950.01,14615.9,-2.235,-336.1100000000006,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,15
2018-01-10 15:30:00+00:00,2018-01-11 02:45:00+00:00,LONG,14198.0,14137.32,-0.427,-62.68000000000029,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,45
