entry_time,exit_time,side,entry_price,exit_price,pnl_pct,net_pnl,result,entry_trigger,exit_trigger,bars_in_trade
2025-11-09 11:00:00+00:00,2025-11-10 12:30:00+00:00,LONG,102187.08,105943.92,3.676,3754.8399999999965,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,102
2025-11-10 13:15:00+00:00,2025-11-10 14:45:00+00:00,LONG,106303.78,104898.15,-1.322,-1407.6300000000047,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,6
2025-11-10 20:00:00+00:00,2025-11-10 21:45:00+00:00,LONG,106235.64,105631.27,-0.569,-606.3699999999953,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
2025-11-10 22:45:00+00:00,2025-11-11 05:00:00+00:00,LONG,106062.8,105378.08,-0.646,-686.7200000000012,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,25
2025-11-12 03:15:00+00:00,2025-11-12 15:15:00+00:00,LONG,103324.0,103458.01,0.13,132.00999999999476,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,48
2025-11-13 01:30:00+00:00,2025-11-13 03:00:00+00:00,LONG,102428.99,101346.81,-1.057,-1084.1800000000076,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,6
2025-11-13 03:15:00+00:00,2025-11-13 13:15:00+00:00,LONG,102124.07,102554.62,0.422,428.54999999998836,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,40
2025-11-14 16:15:00+00:00,2025-11-14 18:15:00+00:00,LONG,96974.13,96050.9,-0.952,-925.2300000000105,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,8
2025-11-15 02:15:00+00:00,2025-11-15 10:00:00+00:00,LONG,95880.0,95850.5,-0.031,-31.5,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,31
2025-11-15 13:45:00+00:00,2025-11-15 19:45:00+00:00,LONG,96370.16,96012.01,-0.372,-360.15000000000873,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,24
2025-11-16 03:15:00+00:00,2025-11-16 11:45:00+00:00,LONG,95814.9,95627.13,-0.196,-189.76999999998952,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,34
2025-11-17 00:45:00+00:00,2025-11-17 13:00:00+00:00,LONG,95290.01,94934.59,-0.373,-357.41999999999825,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,49
2025-11-18 09:00:00+00:00,2025-11-19 00:15:00+00:00,LONG,91173.39,92301.53,1.237,1126.1399999999994,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,61
2025-11-19 13:15:00+00:00,2025-11-19 13:45:00+00:00,LONG,91789.75,91405.02,-0.419,-386.7299999999959,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2025-11-19 14:45:00+00:00,2025-11-19 15:30:00+00:00,LONG,91713.44,90696.85,-1.108,-1018.5899999999965,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,3
2025-11-19 22:15:00+00:00,2025-11-20 09:30:00+00:00,LONG,90594.86,91692.3,1.211,1095.4400000000023,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,45
2025-11-21 14:30:00+00:00,2025-11-21 15:45:00+00:00,LONG,84916.47,82932.47,-2.336,-1986.0,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
2025-11-21 16:45:00+00:00,2025-11-22 03:15:00+00:00,LONG,84919.59,84424.4,-0.583,-497.1900000000023,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,42
2025-11-22 07:45:00+00:00,2025-11-22 08:15:00+00:00,LONG,84580.06,84224.54,-0.42,-357.5200000000041,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2025-11-22 14:15:00+00:00,2025-11-22 21:45:00+00:00,LONG,84581.7,84411.3,-0.201,-172.39999999999418,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,30
2025-11-22 22:00:00+00:00,2025-11-24 00:00:00+00:00,LONG,84595.61,86334.53,2.056,1736.9199999999983,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,104
2025-11-24 02:15:00+00:00,2025-11-24 04:30:00+00:00,LONG,87713.86,86718.0,-1.135,-997.8600000000006,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,9
2025-11-24 05:15:00+00:00,2025-11-24 06:30:00+00:00,LONG,87630.5,87041.17,-0.673,-591.3300000000017,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,5
2025-11-24 16:00:00+00:00,2025-11-25 01:15:00+00:00,LONG,86887.59,88048.61,1.336,1159.020000000004,WIN,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,37
2025-11-25 05:45:00+00:00,2025-11-25 06:15:00+00:00,LONG,88120.82,87944.06,-0.201,-178.7600000000093,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,2
2025-11-25 17:30:00+00:00,2025-11-25 19:15:00+00:00,LONG,87943.12,86296.82,-1.872,-1648.2999999999884,LOSS,EMA12 crossed ABOVE EMA26,EMA12 crossed BELOW EMA26,7
